Source,Target,Weight,nt_type_banc,across_hemi_layer_pre,across_hemi_layer_post
B1-6,WV-WV-2,26,Ach,,
B2,B1-u,26,GABA,,3.557692308
AVLP_pr23,WV-WV-3,26,Ach,,
JO-A,WED_pr02,26,Ach,,3.382386364
B1-4,SAD_pr01,26,Ach,,2.352564103
WV-WV-4,A2,26,GABA,3.227564103,2.304487179
aPN3,aPN2,26,GLUT,,4.389880952
WV-WV-4,WV-WV-3,26,GABA,,
vpoIN-2,AVLP_pr12,26,GABA,5.345619658,
B1-1,WED_pr02,26,Ach,2.127747253,
vpoEN,pC2la,26,Ach,3.688301282,
AVLP/PVLP_pr01-2,A1,26,Ach,4.173076923,
SAD_pr02,B1-5,26,GABA,,3.178858481
B1-u,AVLP_pr23,26,Ach,,
AVLP_pr01-1,A2,26,GABA,2.782371795,
WED_pr02,B1-4,25,GABA,,
A1,AVLP/PVLP_pr01-2,25,inconclusive,,
pC2lb,AVLP_pr36/asp10a-1,25,Ach,,5.376371083
AVLP_pr04,AVLP_pr11,25,SER,,
PVLP_pr03-3,GF,25,GABA,,3.323717949
AVLP_pr01-1,AVLP_pr23,25,GABA,,
IPS_pr02,IPS_pr01-1,25,GABA,,
WV-WV-1,AVLP_pr01-2,25,GABA,,
B1-4,B1-5,25,Ach,,
B1-7,IPS_pr01-1,25,Ach,,
WED_pr02,WED-VLP-1,25,GABA,3.382386364,3.255681818
WED-VLP-2,AVLP_pr01-3,24,Ach,,
A2,WED_pr02,24,Ach,2.304487179,
pC2lb,pC1d,24,Ach,,5.790064103
A2,WV-WV-3,24,Ach,2.304487179,
B2,JO-B,24,GABA,,
vpoIN-1,pC2lb,24,GABA,5.360897436,4.946714744
B1-4,SAD_pr02,24,Ach,2.766254579,
WED-VLP-1,vpoEN,23,Ach,,3.688301282
pC2la,pMN1,23,Ach,5.722467058,
AVLP_pr01-1,WV-WV-2,23,GABA,,
AVLP_pr01-2,WED-VLP-2,23,GABA,,3.481730769
WED_pr02,WED_pr02,23,GABA,,3.382386364
WED_pr02,WV-WV-2,23,GABA,3.382386364,3.419337607
WV-WV-2,AVLP_pr05-1,23,GABA,,
WV-WV-1,WV-WV-4,23,GABA,,3.227564103
B1-5,WV-WV-3,22,Ach,,
WV-WV-3,AVLP_pr23,22,GABA,,3.192307692
IPS_pr02,IPS_pr01-1,22,GABA,3.355769231,
SAD_pr01,AVLP_pr23,22,GABA,2.352564103,
AVLP_pr02,pMN2,22,GABA,,5.352564103
AVLP_pr04,AVLP_pr11,22,SER,5.858974359,5.8125
B1-4,A1,22,Ach,2.766254579,
B1-2,A1,22,Ach,,
vpoEN,pC2lb,22,Ach,,4.946714744
B1-5,B1-5,21,Ach,3.178858481,
AVLP_pr01-2,AVLP_pr22,21,GABA,4.044471154,
vpoIN-2,AVLP_pr12,21,GABA,,
WV-WV-3,AVLP_pr23,21,GABA,,
AVLP_pr22,PVLP_pr03-3,21,Ach,,4.840544872
AVLP_pr01-1,WV-WV-1,21,GABA,2.782371795,
pMN2,pC1e,21,Ach,,
WED_pr02,WV-WV-2,21,GABA,3.382386364,
AVLP_pr36/asp10a-2,AVLP_pr36/asp10a-2,21,Ach,,
vpoIN-1,pC1d,21,GABA,,5.790064103
AVLP_pr18-1,AVLP_pr18-1,21,Inconclusive,5.72275641,
WV-WV-2,WV-WV-1,21,GABA,3.419337607,
AVLP_pr01-1,AVLP_pr02,20,GABA,2.782371795,
IPS_pr01-2,WED_pr01-1,20,GABA,2.779647436,
B1-6,A1,20,Ach,,3.896367521
IPS_pr02,B1-4,20,GABA,,
WV-WV-2,B1-7,20,GABA,,
WED_pr02,B1-1,20,GABA,3.382386364,
AVLP_pr36/asp10a-2,vpoIN-2,20,Ach,5.200320513,
WV-WV-2,WED_pr02,20,GABA,,3.382386364
WV-WV-3,A2,20,GABA,,2.304487179
B1-5,WV-WV-1,20,Ach,3.178858481,
WV-WV-1,WV-WV-1,20,GABA,,
AVLP_pr36/asp10a-1,pMN2,20,Ach,,
A2,WV-WV-1,20,Ach,,2.711538462
B1-1,WED-VLP-2,20,Ach,,3.481730769
vpoIN-2,pC2la,20,GABA,5.345619658,
AVLP_pr18-1,AVLP_pr18-1,20,Inconclusive,,5.72275641
WV-WV-4,B1-4,20,GABA,,
AVLP_pr01-1,WED_pr02,19,GABA,,
IPS_pr01-2,WED_pr01-2,19,GABA,2.779647436,4.221153846
pC1d,pC1d,19,Ach,5.790064103,
B1-4,WV-WV-2,19,Ach,,3.419337607
JO-B,WV-WV-2,19,Ach,,3.419337607
aPN3,B1-4,19,GLUT,4.993589744,2.766254579
WED_pr02,AVLP_pr23,19,GABA,3.382386364,3.192307692
WV-WV-3,B1-6,19,GABA,,4.153846154
WV-WV-2,WED_pr01-1,19,GABA,,
AVLP_pr36/asp10a-1,pC2lb,19,Ach,5.376371083,4.946714744
WED-VLP-2,vpoEN,19,Ach,3.481730769,3.688301282
A1,B1-4,19,inconclusive,,
SAD_pr02,WED-VLP-1,18,GABA,,
WV-WV-1,AVLP/PVLP_pr01-2,18,GABA,,
B1-7,AVLP/PVLP_pr01-2,18,Ach,3.024906517,
WED-VLP-1,AVLP_pr01-2,18,Ach,3.255681818,4.044471154
GNG_pr01-1,AVLP_pr04,18,GABA,,
B1-3,B1-5,18,Ach,,3.178858481
SAD_pr02,B1-7,18,GABA,,
B1-3,GF,18,Ach,,
AVLP_pr23,WV-WV-2,18,Ach,3.192307692,
AVLP_pr05-1,SAD_pr02,18,GABA,,
WV-WV-2,B1-5,18,GABA,3.419337607,
B1-4,A1,18,Ach,2.766254579,3.896367521
AVLP_pr23,AVLP_pr02,18,Ach,,
B1-5,B1-3,18,Ach,3.178858481,
WV-WV-1,WV-WV-1,18,GABA,2.711538462,
B1-4,A1,18,,,3.896367521
B1-5,SAD_pr02,18,Ach,,2.529761905
SAD_pr01,AVLP_pr23,18,GABA,,3.192307692
AVLP_pr23,AVLP_pr05-1,17,Ach,,
AVLP_pr02,AVLP_pr36/asp10a-1,17,GABA,,
AVLP_pr01-2,WED-VLP-1,17,GABA,,3.255681818
JO-A,B1-1,17,Ach,,
WED-VLP-2,pC2lb,17,Ach,3.481730769,4.946714744
AVLP_pr23,AVLP_pr02,17,Ach,3.192307692,
B1-u,B1-u,17,Ach,3.557692308,
WED_pr01-1,WED_pr01-1,17,Ach,,4.180128205
B1-5,AVLP/PVLP_pr01-2,17,Ach,,
B1-3,AVLP_pr23,17,Ach,2.726762821,3.192307692
PVLP_pr03-3,A1,17,GABA,4.840544872,3.896367521
WED_pr02,WED_pr01-1,17,GABA,,
B1-6,B1-6,16,Ach,,
WED-VLP-2,AVLP_pr31,16,Ach,3.481730769,
pcC2lc,AVLP_pr36/asp10a-1,16,Ach,,
AVLP_pr23,AVLP_pr05-1,16,Ach,3.192307692,
B1-5,B1-u,16,Ach,,
B1-3,GF,16,Ach,,3.323717949
B1-u,B1-u,16,Ach,,3.557692308
aPN2,B1-4,16,Ach,,2.766254579
GNG_pr01-1,AVLP_pr23,16,GABA,5.061298077,
AVLP_pr36/asp10a-1,pMN2,16,Ach,,5.352564103
WED_pr02,B1-2,16,GABA,,2.422676282
A1,WV-WV-3,16,inconclusive,,
B1-5,A1,15,Ach,,3.896367521
pcC2lc,pC1d,15,Ach,,5.790064103
B1-7,B1-5,15,Ach,3.024906517,
B1-2,WV-WV-4,15,Ach,,
B1-u,AVLP_pr23,15,Ach,3.557692308,
pMN2,pC1e,15,Ach,5.352564103,6.227564103
A2,A2,15,Ach,,
B1-5,WED_pr01-2,15,Ach,,4.221153846
B1-5,SAD_pr01,15,Ach,,
AVLP_pr01-2,WED-VLP-2,15,GABA,4.044471154,3.481730769
B1-7,B1-7,15,Ach,,
PVLP_pr03-3,pC2la,15,GABA,,
vpoIN-3,AVLP_pr31,15,GABA,3.921474359,
SAD_pr02,B1-7,15,GABA,,3.024906517
SAD_pr01,B1-4,15,GABA,2.352564103,
AVLP_pr12,AVLP_pr04,14,Ach,,
pC2lc,pC1d,14,Ach,,5.790064103
vpoIN-3,pC2lb,14,GABA,,4.946714744
B1-7,AVLP_pr05-1,14,Ach,,
AVLP_pr12,AVLP_pr04,14,Ach,,5.858974359
WED-VLP-2,vpoEN,14,Ach,3.481730769,
WV-WV-1,AVLP_pr02,14,GABA,,
AVLP_pr01-1,A2,14,GABA,2.782371795,2.304487179
B1-6,A1,14,Ach,4.153846154,3.896367521
AVLP/PVLP_pr01-1,AVLP/PVLP_pr01-1,14,Ach,6.126602564,
pC2lc,pMN1,14,Ach,,5.233974359
AVLP_pr02,pMN2,14,GABA,,
AVLP_pr01-2,AVLP_pr01-2,14,GABA,4.044471154,
WED-VLP-1,vpoEN,14,Ach,,
WED-VLP-1,vpoIN-3,14,Ach,3.255681818,3.921474359
vpoIN-3,pMN2,14,GABA,,
vpoIN-2,AVLP_pr12,14,GABA,,5.841091779
WED-VLP-1,WED-VLP-2,14,Ach,,
vpoIN-2,pC1e,13,GABA,5.345619658,6.227564103
B1-u,B1-7,13,Ach,,3.024906517
B1-6,GF,13,Ach,,3.323717949
SAD_pr01,SAD_pr01,13,GABA,,2.352564103
AVLP_pr02,pC2la,13,GABA,3.774038462,
GNG_pr01-1,GF,13,GABA,5.061298077,3.323717949
WV-WV-2,B1-3,13,GABA,3.419337607,
vpoIN-1,pMN1,13,GABA,5.360897436,5.233974359
A1,AVLP_pr23,13,inconclusive,,
B1-2,WED_pr02,13,Ach,2.422676282,3.382386364
PVLP_pr03-3,A1,13,GABA,,3.896367521
AVLP_pr01-2,pC2lb,13,GABA,,
JO-B,WV-WV-4,13,Ach,,3.227564103
pC1d,pC1d,13,Ach,,5.790064103
B1-7,SAD_pr02,13,Ach,3.024906517,
B1-4,WV-WV-2,13,Ach,2.766254579,
WED_pr02,B1-6,13,GABA,,
AVLP_pr23,WV-WV-2,13,Ach,,
B1-6,B1-7,13,Ach,,
WED_pr02,B1-1,12,GABA,,2.127747253
B1-2,B1-u,12,Ach,,3.557692308
B1-2,B1-5,12,Ach,,
AVLP_pr36/asp10a-1,pC2lb,12,Ach,5.376371083,
AVLP_pr05-3,AVLP_pr18-1,12,GABA,,5.72275641
B1-6,B1-5,12,Ach,4.153846154,
JO-B,aPN3,12,Ach,,
B1-3,WV-WV-1,12,Ach,,2.711538462
aPN3,B1-4,12,GLUT,4.993589744,
B1-4,IPS_pr01-1,12,Ach,,
B1-4,SAD_pr01,12,Ach,2.766254579,
pC2lb,pMN2,12,Ach,4.946714744,
B1-4,WV-WV-3,12,Ach,2.766254579,
B1-5,GF,12,Ach,3.178858481,3.323717949
B1-6,B1-4,12,Ach,,
AVLP_pr36/asp10a-2,vpoIN-2,12,Ach,5.200320513,5.345619658
IPS_pr02,B1-7,12,GABA,3.355769231,
IPS_pr02,B1-6,12,GABA,3.355769231,4.153846154
vpoIN-3,pMN2,12,GABA,3.921474359,5.352564103
aPN3,aPN3,12,GLUT,,
B1-2,B1-3,12,Ach,,
PVLP_pr03-2,PVLP_pr03-2,12,GABA,,
WED-VLP-1,WED-VLP-1,12,Ach,,3.255681818
vpoEN,pMN1,12,Ach,3.688301282,
AVLP_pr01-2,vpoIN-3,12,GABA,,3.921474359
GNG_pr01-1,AVLP_pr23,12,GABA,5.061298077,3.192307692
GNG_pr01-1,AVLP_pr04,12,GABA,,5.858974359
WED-VLP-2,pC2lb,12,Ach,3.481730769,
WED-VLP-2,WED-VLP-1,12,Ach,,
WED-VLP-2,AVLP_pr01-1,12,Ach,3.481730769,
AVLP_pr36/asp10a-1,pC1d,12,Ach,5.376371083,5.790064103
pC1e,pC1d,11,Ach,6.227564103,5.790064103
vpoIN-3,pMN1,11,GABA,3.921474359,5.233974359
AVLP_pr36/asp10a-1,pC2la,11,Ach,,5.722467058
SAD_pr01,AVLP_pr23,11,GABA,2.352564103,3.192307692
AVLP_pr01-2,vpoIN-3,11,GABA,,
pC1d,pC1e,11,Ach,5.790064103,6.227564103
WV-WV-1,B1-1,11,GABA,,
WED-VLP-2,WED_pr02,11,Ach,3.481730769,3.382386364
vpoEN,AVLP_pr36/asp10a-1,11,Ach,3.688301282,5.376371083
AVLP_pr36/asp10a-1,AVLP_pr04,11,Ach,,
WV-WV-4,AVLP_pr23,11,GABA,,
AVLP/PVLP_pr01-2,A1,11,Ach,4.173076923,3.896367521
vpoIN-2,pMN2,11,GABA,,
pC1d,pMN2,11,Ach,,
vpoIN-3,AVLP_pr32,11,GABA,,4.680555556
pC2lb,pC1e,11,Ach,,6.227564103
B1-4,B1-4,11,Ach,2.766254579,
B1-4,B1-3,11,Ach,,
AVLP_pr01-2,WED-VLP-1,11,GABA,4.044471154,3.255681818
pC1d,pC2la,11,Ach,5.790064103,
vpoIN-1,pC1d,11,GABA,,
WED_pr02,A1,11,GABA,,
WV-WV-1,WV-WV-4,10,GABA,,
AVLP_pr02,pC2la,10,GABA,,
B1-6,B1-5,10,Ach,,
WV-WV-1,AVLP_pr23,10,GABA,2.711538462,3.192307692
aPN2,IPS/WED_pr01,10,Ach,4.389880952,
B1-5,B1-5,10,Ach,,3.178858481
WED-VLP-2,WED-VLP-2,10,Ach,3.481730769,
WV-WV-1,A1,10,GABA,2.711538462,
pC2la,pC2lb,10,Ach,,
B1-3,B1-2,10,Ach,2.726762821,
WV-WV-2,WV-WV-3,10,GABA,3.419337607,
WED-VLP-1,vpoIN-1,10,Ach,,
WV-WV-3,AVLP/PVLP_pr01-2,10,GABA,,4.173076923
AVLP_pr01-1,AVLP_pr01-2,10,GABA,2.782371795,
WED_pr02,vpoEN,10,GABA,3.382386364,3.688301282
B1-7,WED_pr02,10,Ach,,
AVLP_pr02,pMN2,10,GABA,3.774038462,5.352564103
AVLP_pr23,vpoEN,10,Ach,,3.688301282
B1-u,B2,10,Ach,,
WED_pr02,B1-u,10,GABA,,3.557692308
B1-4,SAD_pr02,10,Ach,,2.529761905
WV-WV-2,B1-3,10,GABA,,
AVLP_pr02,AVLP_pr02,10,GABA,3.774038462,
AVLP_pr04,AVLP_pr18-1,10,SER,,
AVLP_pr22,AVLP_pr22,10,Ach,,
WV-WV-4,WED_pr01-1,10,GABA,3.227564103,
AVLP/PVLP_pr01-2,GF,10,Ach,4.173076923,3.323717949
IPS_pr02,IPS_pr01-2,10,GABA,,2.779647436
AVLP_pr01-1,JO-A,10,GABA,,
IPS_pr02,JO-B,10,GABA,3.355769231,
SAD_pr01,A1,10,GABA,2.352564103,
AVLP_pr02,AVLP_pr02,10,GABA,,
pC1e,pMN2,9,Ach,6.227564103,
AVLP/PVLP_pr01-2,AVLP/PVLP_pr01-2,9,Ach,,
WV-WV-1,AVLP_pr23,9,GABA,2.711538462,
B1-5,WV-WV-3,9,Ach,3.178858481,
B1-u,WED_pr02,9,Ach,3.557692308,3.382386364
B1-5,IPS_pr01-1,9,Ach,,
WED-VLP-2,WV-WV-1,9,Ach,3.481730769,
IPS/WED_pr01,IPS_pr02,9,GABA,,3.355769231
SAD_pr01,AVLP_pr23,9,GABA,,
JO-A,vpoEN,9,Ach,,
WV-WV-4,AVLP_pr23,9,GABA,,3.192307692
B1-4,WED_pr01-1,9,Ach,,4.180128205
B1-7,WED_pr01-1,9,Ach,,4.180128205
WED-VLP-1,AVLP_pr31,9,Ach,3.255681818,4.337873932
AVLP_pr36/asp10a-1,pMN1,9,Ach,5.376371083,5.233974359
A1,GF,9,inconclusive,3.896367521,3.323717949
WED_pr01-1,IPS_pr02,9,Ach,,3.355769231
vpoIN-1,pC1d,9,GABA,5.360897436,5.790064103
B1-6,WV-WV-3,9,Ach,,2.675824176
pC2lc,pC1d,9,Ach,,
B1-2,B1-2,9,Ach,2.422676282,
B1-5,AVLP_pr05-1,9,Ach,,4.254273504
WED_pr02,AVLP_pr23,9,GABA,3.382386364,
B1-u,B1-7,9,Ach,,
AVLP_pr05-3,AVLP_pr18-1,9,GABA,5.007478632,
B1-3,WV-WV-2,9,Ach,2.726762821,3.419337607
WED-VLP-2,AVLP_pr01-3,8,Ach,3.481730769,5.290064103
GNG_pr01-1,A2,8,GABA,5.061298077,
pC1d,pC1e,8,Ach,,
AVLP_pr11,AVLP_pr04,8,Ach,5.8125,5.858974359
B1-5,WED_pr01-1,8,Ach,3.178858481,
B1-4,WED_pr02,8,Ach,,
AVLP_pr23,A1,8,Ach,,3.896367521
A2,WV-WV-1,8,Ach,2.304487179,
IPS_pr02,WED_pr01-1,8,GABA,,
pC1d,pC1e,8,Ach,5.790064103,
B1-1,AVLP_pr23,8,Ach,2.127747253,
B1-3,WED_pr01-1,8,Ach,,
B1-5,B1-3,8,Ach,,
AVLP_pr23,A1,8,Ach,3.192307692,3.896367521
vpoIN-2,AVLP_pr12,8,GABA,5.345619658,5.841091779
AVLP_pr04,AVLP_pr18-1,8,SER,5.858974359,5.72275641
B1-6,SAD_pr02,8,Ach,,
AVLP_pr12,AVLP_pr04,8,Ach,5.841091779,5.858974359
AVLP_pr01-1,WED-VLP-1,8,GABA,2.782371795,3.255681818
B1-6,B1-4,8,Ach,4.153846154,
B1-7,WV-WV-3,8,Ach,3.024906517,
vpoEN,vpoEN,8,Ach,,
SAD_pr02,SAD_pr01,8,GABA,,
pC2la,AVLP_pr04,8,Ach,,5.858974359
GNG_pr01-2,AVLP_pr04,8,GABA,4.933760684,5.858974359
B1-2,WV-WV-2,8,Ach,2.422676282,3.419337607
WED_pr01-1,IPS/WED_pr01,8,Ach,,5.505215618
WV-WV-1,WV-WV-2,8,GABA,2.711538462,
vpoEN,vpoIN-3,8,Ach,,3.921474359
IPS_pr01-1,WED_pr01-1,8,GABA,4.553632479,
B1-3,AVLP_pr23,8,Ach,2.726762821,
B2,WV-WV-3,8,GABA,2.444978632,
B1-6,WED_pr01-2,8,Ach,,4.221153846
pC2la,pC1d,8,Ach,5.722467058,5.790064103
GF,WED_pr02,7,Inconclusive,,
AVLP_pr23,PVLP_pr03-3,7,Ach,,4.840544872
WED_pr02,WED_pr02,7,GABA,3.382386364,
vpoEN,pMN2,7,Ach,3.688301282,
B1-4,aPN3,7,,,
vpoIN-3,AVLP_pr31,7,GABA,3.921474359,4.337873932
pC2lb,PVLP_pr03-2,7,Ach,4.946714744,
B1-4,WED-VLP-2,7,Ach,,
SAD_pr02,SAD_pr02,7,GABA,,
JO-B,A1,7,Ach,,
WED_pr01-1,SAD_pr02,7,Ach,4.180128205,2.529761905
pC2lb,pC1d,7,Ach,,
WED_pr02,B1-2,7,GABA,3.382386364,2.422676282
B1-u,B1-2,7,Ach,3.557692308,2.422676282
B1-1,B1-3,7,Ach,,
B1-4,B1-u,7,,,
AVLP_pr01-2,A2,7,GABA,,2.304487179
GNG_pr01-1,AVLP_pr23,7,GABA,,3.192307692
WED-VLP-1,WED-VLP-2,7,Ach,,3.481730769
SAD_pr01,B1-1,7,GABA,2.352564103,
WV-WV-2,A2,7,GABA,3.419337607,2.304487179
JO-B,aPN2,7,Ach,,4.389880952
IPS_pr01-1,WED_pr01-1,7,GABA,4.553632479,4.180128205
WED-VLP-2,WV-WV-1,7,Ach,3.481730769,2.711538462
pC2lc,pC1d,7,Ach,5.55849359,5.790064103
pC1e,pC1d,7,Ach,,
SAD_pr01,B1-4,7,GABA,,
pC1e,pMN2,7,Ach,6.227564103,5.352564103
PVLP_pr03-3,PVLP_pr03-3,7,GABA,,
AVLP_pr01-2,AVLP_pr01-3,7,GABA,,
WV-WV-1,SAD_pr02,7,GABA,2.711538462,
WV-WV-1,B1-3,7,GABA,,
A2,vpoEN,7,Ach,2.304487179,3.688301282
pC1e,pMN2,7,Ach,,
AVLP_pr01-1,AVLP_pr01-2,7,GABA,,4.044471154
vpoIN-2,pC2lb,7,GABA,5.345619658,4.946714744
vpoIN-2,pC1d,7,GABA,5.345619658,5.790064103
AVLP_pr11,AVLP_pr18-2,7,Ach,5.8125,5.818910256
AVLP_pr11,AVLP_pr04,7,Ach,,
vpoEN,vpoEN,7,Ach,,3.688301282
AVLP_pr23,WV-WV-1,7,Ach,3.192307692,
AVLP_pr12,AVLP_pr36/asp10a-1,6,Ach,,
A1,AVLP/PVLP_pr01-2,6,inconclusive,3.896367521,
pC1d,pC2la,6,Ach,,
B1-2,B1-2,6,Ach,,2.422676282
WED-VLP-1,WED_pr02,6,Ach,,3.382386364
pC2lb,pC1e,6,Ach,,
aPN2,aPN3,6,Ach,,
A2,AVLP_pr01-2,6,Ach,,
B1-1,WED-VLP-2,6,Ach,2.127747253,
B1-3,B1-4,6,Ach,,
B1-3,B1-2,6,Ach,,
JO-A,aPN2,6,Ach,,
AVLP_pr04,AVLP_pr18-2,6,SER,,
AVLP_pr23,WV-WV-1,6,Ach,3.192307692,2.711538462
pC2la,pC2la,6,Ach,,5.722467058
GF,WV-WV-3,6,Inconclusive,,2.675824176
AVLP_pr11,AVLP_pr04,6,Ach,5.8125,
aPN3,IPS_pr01-1,6,GLUT,,
B2,B2,6,GABA,2.444978632,
WED_pr01-2,WED_pr01-1,6,Ach,4.221153846,
GF,A1,6,Inconclusive,,
AVLP_pr02,vpoEN,6,GABA,3.774038462,
AVLP_pr36/asp10a-2,AVLP_pr02,6,Ach,5.200320513,3.774038462
B1-5,WV-WV-3,6,Ach,,2.675824176
IPS_pr01-2,WED_pr01-1,6,GABA,2.779647436,4.180128205
B1-6,AVLP/PVLP_pr01-2,6,Ach,,
B1-6,B1-6,6,Ach,,4.153846154
B1-u,WED_pr01-2,6,Ach,,4.221153846
AVLP_pr01-1,AVLP_pr01-1,6,GABA,,
WV-WV-1,AVLP/PVLP_pr01-2,6,GABA,,4.173076923
WV-WV-1,A2,6,GABA,,
IPS/WED_pr01,IPS_pr02,6,GABA,,
WED_pr02,WV-WV-4,6,GABA,3.382386364,
WED-VLP-1,AVLP_pr02,6,Ach,,3.774038462
B1-6,GF,6,Ach,,
WED_pr01-1,AVLP_pr04,6,Ach,,
SAD_pr02,B2,6,GABA,,2.444978632
SAD_pr02,GF,6,GABA,,3.323717949
B1-6,aPN3,6,Ach,4.153846154,
vpoIN-2,vpoEN,6,GABA,5.345619658,3.688301282
B1-7,IPS_pr01-2,6,Ach,,
SAD_pr02,WED_pr01-1,6,GABA,,
GNG_pr01-1,GNG_pr01-1,6,GABA,5.061298077,
WED_pr01-1,SAD_pr02,6,Ach,4.180128205,
pcC2lc,pC1d,6,Ach,,
AVLP_pr01-2,vpoIN-3,6,GABA,4.044471154,3.921474359
WED_pr02,AVLP_pr01-1,6,GABA,,
vpoIN-3,pC2la,6,GABA,3.921474359,
B1-u,B1-4,6,Ach,,
AVLP_pr02,pC2lb,6,GABA,,4.946714744
AVLP_pr23,AVLP_pr01-1,6,Ach,,
AVLP_pr32,pC2la,6,Ach,,
WV-WV-2,B1-4,6,GABA,,
B1-1,AVLP_pr23,6,Ach,2.127747253,3.192307692
pMN1,pC1d,6,Ach,5.233974359,5.790064103
AVLP_pr32,AVLP_pr32,6,Ach,,4.680555556
AVLP_pr31,AVLP_pr31,6,Ach,,
B1-4,WV-WV-1,6,Ach,2.766254579,
AVLP_pr32,pMN2,6,Ach,,
B1-5,SAD_pr02,6,Ach,3.178858481,
PVLP_pr03-3,AVLP_pr31,6,GABA,,4.337873932
vpoEN,AVLP_pr36/asp10a-1,6,Ach,,5.376371083
JO-A,WED-VLP-2,6,Ach,,
AVLP_pr02,pcC2lc,6,GABA,3.774038462,
AVLP_pr01-2,AVLP_pr02,6,GABA,,
WV-WV-4,B1-5,6,GABA,3.227564103,
WV-WV-4,JO-A,6,GABA,,
B1-5,WV-WV-2,6,Ach,3.178858481,3.419337607
AVLP_pr02,pMN2,6,GABA,3.774038462,
vpoIN-2,pC2lc,5,GABA,5.345619658,5.55849359
vpoIN-3,pC2la,5,GABA,,
vpoIN-1,pC2la,5,GABA,,
vpoIN-1,AVLP_pr36/asp10a-1,5,GABA,5.360897436,
pC2lb,pMN2,5,Ach,,
pC2lc,vpoIN-2,5,Ach,,5.345619658
vpoIN-1,AVLP_pr12,5,GABA,,
vpoIN-3,AVLP_pr32,5,GABA,,
vpoIN-1,AVLP_pr12,5,GABA,5.360897436,5.841091779
vpoEN,vpoIN-3,5,Ach,,
vpoEN,vpoIN-1,5,Ach,,
pcC2lc,pMN1,5,Ach,,5.233974359
pMN1,pC2la,5,Ach,5.233974359,
pMN1,pC2la,5,Ach,,
pMN1,pC2lb,5,Ach,5.233974359,
pC2lb,vpoEN,5,Ach,,3.688301282
vpoIN-3,pMN1,5,GABA,,
JO-A,A1,5,Ach,,
pC2lb,pC2la,5,Ach,4.946714744,5.722467058
AVLP_pr22,vpoIN-3,5,Ach,,3.921474359
AVLP_pr31,AVLP_pr32,5,Ach,,4.680555556
AVLP_pr31,AVLP_pr36/asp10a-1,5,Ach,,
AVLP_pr32,AVLP_pr31,5,Ach,4.680555556,
AVLP_pr32,pC2lb,5,Ach,,4.946714744
AVLP_pr32,vpoEN,5,Ach,,
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,5,Ach,,5.376371083
AVLP_pr36/asp10a-1,pcC2lc,5,Ach,,
AVLP_pr36/asp10a-1,vpoIN-1,5,Ach,,
AVLP_pr36/asp10a-2,AVLP_pr02,5,Ach,,
AVLP_pr36/asp10a-2,AVLP_pr36/asp10a-1,5,Ach,,
B1-1,AVLP_pr01-2,5,Ach,,
B1-1,B1-2,5,Ach,,2.422676282
B1-1,B1-3,5,Ach,,2.726762821
B1-1,WV-WV-4,5,Ach,,
B1-2,B1-u,5,Ach,2.422676282,3.557692308
B1-2,SAD_pr01,5,Ach,,2.352564103
B1-3,B1-3,5,Ach,2.726762821,
B1-4,AVLP/PVLP_pr01-2,5,Ach,,4.173076923
B1-4,B1-5,5,,,
B1-4,B1-7,5,Ach,,3.024906517
B1-4,GF,5,Ach,2.766254579,3.323717949
AVLP_pr23,WED_pr02,5,Ach,,
AVLP_pr22,vpoIN-2,5,Ach,,5.345619658
B1-5,B1-6,5,Ach,,4.153846154
AVLP_pr18-1,AVLP_pr18-2,5,Inconclusive,5.72275641,5.818910256
A1,B1-6,5,inconclusive,3.896367521,4.153846154
A1,WV-WV-1,5,inconclusive,,2.711538462
A2,B1-2,5,Ach,,
AVLP_pr01-1,AVLP_pr02,5,GABA,,3.774038462
AVLP_pr01-1,WV-WV-1,5,GABA,2.782371795,2.711538462
AVLP_pr01-1,vpoIN-2,5,GABA,,5.345619658
AVLP_pr01-1,vpoIN-3,5,GABA,2.782371795,3.921474359
AVLP_pr01-2,AVLP_pr01-2,5,GABA,,4.044471154
AVLP_pr01-2,AVLP_pr02,5,GABA,,3.774038462
AVLP_pr01-2,AVLP_pr31,5,GABA,,
AVLP_pr01-2,vpoEN,5,GABA,4.044471154,3.688301282
AVLP_pr01-2,vpoIN-2,5,GABA,,5.345619658
AVLP_pr02,pC1d,5,GABA,3.774038462,5.790064103
AVLP_pr02,pC1d,5,GABA,,5.790064103
AVLP_pr02,pC2lb,5,GABA,3.774038462,4.946714744
AVLP_pr04,AVLP_pr12,5,SER,,
AVLP_pr04,AVLP_pr18-2,5,SER,5.858974359,5.818910256
AVLP_pr05-1,AVLP_pr05-1,5,GABA,4.254273504,
AVLP_pr05-1,AVLP_pr05-1,5,GABA,,
AVLP_pr11,AVLP_pr04,5,Ach,,5.858974359
AVLP_pr12,pC1d,5,Ach,,5.790064103
B1-5,B1-4,5,Ach,,2.766254579
B1-5,SAD_pr02,5,Ach,3.178858481,2.529761905
pC2la,pC1e,5,Ach,,
WED-VLP-2,WV-WV-3,5,Ach,,
WED_pr01-1,SAD_pr02,5,Ach,,
WED_pr01-2,WED_pr01-2,5,Ach,4.221153846,
WV-WV-1,A2,5,GABA,,2.304487179
WV-WV-1,AVLP_pr01-2,5,GABA,2.711538462,
WV-WV-1,B1-2,5,GABA,2.711538462,
